timestamp_utc,total,ref_tight,exact,ref_lo,ref_hi,we_lo,we_tight,we_hi,agree_lo,agree_hi,partial,missing,contrad,commit,improvement
2026-06-07T08:40:45Z,1145,674,425,36,10,0,0,0,0,0,0,0,0,a467a01d8494,baseline
2026-06-07T16:16:54Z,1145,674,425,36,10,0,0,0,0,0,0,0,0,c4c97f78af7e,
2026-06-07T18:24:31Z,1145,674,425,36,10,0,0,0,0,0,0,0,0,460df105545c,
2026-06-15T09:40:18Z,1145,673,425,36,10,1,0,0,0,0,0,0,0,59f23ea2c632,"K_8(4,2)=23 (was [13,32])"
2026-06-15T11:02:36Z,1145,673,425,36,10,1,0,0,0,0,0,0,0,fae817df3d5b,
2026-06-17T14:38:35Z,1145,672,425,37,10,1,0,0,0,0,0,0,0,3e50a1e38780,"K_3(6,2)<=17 (was 24)"
2026-06-17T19:05:23Z,1145,672,425,37,10,1,0,0,0,0,0,0,0,5b2a770342eb,
2026-06-18T10:28:53Z,1145,672,425,37,10,1,0,0,0,0,0,0,0,b7447bdacf5e,
2026-06-21T16:34:25Z,1145,672,425,37,10,1,0,0,0,0,0,0,0,5b4f3bf2f661,
2026-06-21T17:27:27Z,1145,672,425,37,10,1,0,0,0,0,0,0,0,66007d55c9af,
2026-06-21T17:33:53Z,1145,672,425,37,10,1,0,0,0,0,0,0,0,0eea7a645b58,
2026-06-21T17:44:38Z,1145,672,425,37,10,1,0,0,0,0,0,0,0,1d5217236d79,
2026-06-21T19:51:47Z,1145,669,425,40,10,1,0,0,0,0,0,0,0,021e583013fd,"K_6(7,2)<=1296 (was 3888); K_6(8,2)<=5184 (was 23328); K_7(7,2)<=2401 (was 7889)"
2026-06-22T04:51:01Z,1145,667,425,42,10,1,0,0,0,0,0,0,0,ab0ae885e732,"K_9(8,4)<=729 (was 3321); K_9(9,5)<=729 (was 3321)"
2026-06-22T09:43:49Z,1145,667,425,42,10,1,0,0,0,0,0,0,0,2db30e1704d0,
2026-06-22T11:03:31Z,1145,667,425,42,10,1,0,0,0,0,0,0,0,ad78b6641d65,
2026-06-22T11:03:53Z,1145,666,425,43,10,1,0,0,0,0,0,0,0,13284f2572e1,"K_9(8,2)<=59049 (was 269001)"
2026-06-22T11:58:59Z,1145,665,425,44,10,1,0,0,0,0,0,0,0,d2da727c20a9,"K_9(9,3)<=29889 (was 59049)"
2026-06-22T12:26:36Z,1145,664,425,45,10,1,0,0,0,0,0,0,0,a53fc42fd958,"K_10(8,4)<=1156 (was 5000)"
2026-06-22T12:58:41Z,1145,663,425,46,10,1,0,0,0,0,0,0,0,90abca12b7c2,"K_12(8,5)<=264 (was 864)"
2026-06-22T13:41:05Z,1145,661,425,48,10,1,0,0,0,0,0,0,0,eeab6130eb91,"K_16(6,2)<=10752 (was 32768); K_16(7,2)<=172032 (was 524288)"
2026-06-22T19:42:03Z,1145,661,425,48,10,1,0,0,0,0,0,0,0,19d1caad6302,
2026-06-23T08:42:36Z,1145,658,425,51,10,1,0,0,0,0,0,0,0,33e90a5364cf,"K_2(24,4)<=4096 (was 65536); K_2(28,5)<=8192 (was 262144); K_2(30,6)<=8192 (was 262144)"
2026-06-23T16:57:01Z,1145,653,425,56,10,1,0,0,0,0,0,0,0,310b6e3579dd,"K_2(26,6)<=1024 (was 4096); K_2(26,8)<=128 (was 1024); K_2(28,9)<=128 (was 1024); K_2(32,7)<=4096 (was 16384); K_2(33,7)<=8192 (was 32768)"
2026-06-27T15:03:47Z,1145,650,425,59,10,1,0,0,0,0,0,0,0,fb338b02c7d6,"K_4(11,4)<=512 (was 4096); K_7(8,4)<=343 (was 729); K_7(9,3)<=8575 (was 16807)"
2026-06-28T09:06:40Z,1145,635,429,74,6,1,0,0,0,0,0,0,0,bf50f80a17c7,"K_2(23,3)<=4096 (was 114688); K_3(13,1)<=59049 (was 118098); K_5(6,1)<=625 (was 1625); K_7(8,1)<=117649 (was 420175)"
